

BUFFER,FROM_INSTANCE.PORT,TO_INSTANCE.PORT,SIZE,MEMORY_GROUP,BANK,OFFSET,DMA_NEEDED
buf83,mm_graph0.mm_0_3.sp_b0[0].po0,mm_graph0.mm_0_3.mm[0].pi1,4096,"(26, 3)",3,0,-
buf10,mm_graph0.mm_0_0.sp_a0[0].po3,mm_graph0.mm_0_1.mm[3].pi0,4096,"(26, 3)",0,0,-
buf84,mm_graph0.mm_0_3.sp_b0[0].po1,mm_graph0.mm_0_3.mm[1].pi1,4096,"(25, 3)",3,0,-
buf87,mm_graph0.mm_0_3.mm[3].po0,mm_graph0.mg_out[0].pi3,4096,"(24, 3)",3,4096,-
buf85,mm_graph0.mm_0_3.sp_b0[0].po2,mm_graph0.mm_0_3.mm[2].pi1,4096,"(24, 3)",3,0,-
buf35,mm_graph0.mm_0_3.mm[3].po0,mm_graph0.mg_out[0].pi3,4096,"(24, 3)",2,4096,-
buf4,mm_graph0.mm_0_0.sp_a0[0].po1,mm_graph0.mm_0_1.mm[1].pi0,4096,"(24, 3)",0,0,-
buf34,mm_graph0.mm_0_3.sp_b0[0].po3,mm_graph0.mm_0_3.mm[3].pi1,4096,"(23, 3)",2,0,-
buf81,mm_graph0.mm_0_1.sp_b0[0].po3,mm_graph0.mm_0_1.mm[3].pi1,4096,"(26, 2)",3,0,-
buf14,mm_graph0.mm_0_2.sp_a0[0].po0,mm_graph0.mm_0_3.mm[0].pi0,4096,"(26, 2)",0,0,-
buf82,mm_graph0.mm_0_1.mm[3].po0,mm_graph0.mg_out[0].pi1,4096,"(25, 2)",3,4096,-
buf80,mm_graph0.mm_0_1.sp_b0[0].po2,mm_graph0.mm_0_1.mm[2].pi1,4096,"(25, 2)",3,0,-
buf28,mm_graph0.mm_0_1.sp_b0[0].po2,mm_graph0.mm_0_1.mm[2].pi1,4096,"(25, 2)",2,0,-
buf17,mm_graph0.mm_0_2.sp_a0[0].po1,mm_graph0.mm_0_3.mm[1].pi0,4096,"(25, 2)",0,0,-
buf79,mm_graph0.mm_0_1.sp_b0[0].po1,mm_graph0.mm_0_1.mm[1].pi1,4096,"(24, 2)",3,0,-
buf27,mm_graph0.mm_0_1.sp_b0[0].po1,mm_graph0.mm_0_1.mm[1].pi1,4096,"(24, 2)",2,0,-
buf72,mm_graph0.mm_0_2.sp_a0[0].po2,mm_graph0.mm_0_3.mm[2].pi0,4096,"(24, 2)",1,0,-
buf20,mm_graph0.mm_0_2.sp_a0[0].po2,mm_graph0.mm_0_3.mm[2].pi0,4096,"(24, 2)",0,0,-
buf78,mm_graph0.mm_0_1.sp_b0[0].po0,mm_graph0.mm_0_1.mm[0].pi1,4096,"(23, 2)",3,0,-
buf26,mm_graph0.mm_0_1.sp_b0[0].po0,mm_graph0.mm_0_1.mm[0].pi1,4096,"(23, 2)",2,0,-
buf75,mm_graph0.mm_0_2.sp_a0[0].po3,mm_graph0.mm_0_3.mm[3].pi0,4096,"(23, 2)",1,0,-
buf67,mm_graph0.mm_0_2.sp_b0[0].po0,mm_graph0.mm_0_2.mm[0].pi1,4096,"(26, 1)",3,0,-
buf15,mm_graph0.mm_0_2.sp_b0[0].po0,mm_graph0.mm_0_2.mm[0].pi1,4096,"(26, 1)",2,0,-
buf18,mm_graph0.mm_0_2.sp_b0[0].po1,mm_graph0.mm_0_2.mm[1].pi1,4096,"(25, 1)",2,0,-
sysmem40,-,-,1156,"(25, 1)",1,4096,-
buf6,mm_graph0.mm_0_0.sp_a0[0].po2,mm_graph0.mm_0_0.mm[2].pi0,4096,"(25, 1)",0,0,-
buf77,mm_graph0.mm_0_2.mm[3].po0,mm_graph0.mg_out[0].pi2,4096,"(24, 1)",3,4096,-
buf73,mm_graph0.mm_0_2.sp_b0[0].po2,mm_graph0.mm_0_2.mm[2].pi1,4096,"(24, 1)",3,0,-
buf25,mm_graph0.mm_0_2.mm[3].po0,mm_graph0.mg_out[0].pi2,4096,"(24, 1)",2,4096,-
buf76,mm_graph0.mm_0_2.sp_b0[0].po3,mm_graph0.mm_0_2.mm[3].pi1,4096,"(23, 1)",3,0,-
buf24,mm_graph0.mm_0_2.sp_b0[0].po3,mm_graph0.mm_0_2.mm[3].pi1,4096,"(23, 1)",2,0,-
buf11,mm_graph0.mm_0_0.sp_b0[0].po3,mm_graph0.mm_0_0.mm[3].pi1,4096,"(26, 0)",2,0,-
sysmem38,-,-,1156,"(26, 0)",1,4096,-
buf13,mm_graph0.mm_0_2.sp_a0[0].po0,mm_graph0.mm_0_2.mm[0].pi0,4096,"(26, 0)",0,0,-
buf12,mm_graph0.mm_0_0.mm[3].po0,mm_graph0.mg_out[0].pi0,4096,"(25, 0)",2,4096,-
buf8,mm_graph0.mm_0_0.sp_b0[0].po2,mm_graph0.mm_0_0.mm[2].pi1,4096,"(25, 0)",2,0,-
buf16,mm_graph0.mm_0_2.sp_a0[0].po1,mm_graph0.mm_0_2.mm[1].pi0,4096,"(25, 0)",0,0,-
sysmem36,-,-,1156,"(24, 0)",1,4096,-
buf2,mm_graph0.mm_0_0.sp_b0[0].po0,mm_graph0.mm_0_0.mm[0].pi1,4096,"(23, 0)",2,0,-
buf74,mm_graph0.mm_0_2.sp_a0[0].po3,mm_graph0.mm_0_2.mm[3].pi0,4096,"(23, 0)",1,0,-
buf60,mm_graph0.mm_0_0.sp_b0[0].po2,mm_graph0.mm_0_0.mm[2].pi1,4096,"(25, 0)",3,0,-
buf22,mm_graph0.mm_0_2.sp_a0[0].po3,mm_graph0.mm_0_2.mm[3].pi0,4096,"(23, 0)",0,0,-
buf32,mm_graph0.mm_0_3.sp_b0[0].po1,mm_graph0.mm_0_3.mm[1].pi1,4096,"(25, 3)",2,0,-
buf65,mm_graph0.mm_0_2.sp_a0[0].po0,mm_graph0.mm_0_2.mm[0].pi0,4096,"(26, 0)",1,0,-
buf23,mm_graph0.mm_0_2.sp_a0[0].po3,mm_graph0.mm_0_3.mm[3].pi0,4096,"(23, 2)",0,0,-
buf61,mm_graph0.mm_0_0.sp_a0[0].po3,mm_graph0.mm_0_0.mm[3].pi0,4096,"(26, 1)",1,0,-
buf62,mm_graph0.mm_0_0.sp_a0[0].po3,mm_graph0.mm_0_1.mm[3].pi0,4096,"(26, 3)",1,0,-
buf29,mm_graph0.mm_0_1.sp_b0[0].po3,mm_graph0.mm_0_1.mm[3].pi1,4096,"(26, 2)",2,0,-
buf1,mm_graph0.mm_0_0.sp_a0[0].po0,mm_graph0.mm_0_1.mm[0].pi0,4096,"(23, 3)",0,0,-
buf30,mm_graph0.mm_0_1.mm[3].po0,mm_graph0.mg_out[0].pi1,4096,"(25, 2)",2,4096,-
buf63,mm_graph0.mm_0_0.sp_b0[0].po3,mm_graph0.mm_0_0.mm[3].pi1,4096,"(26, 0)",3,0,-
buf31,mm_graph0.mm_0_3.sp_b0[0].po0,mm_graph0.mm_0_3.mm[0].pi1,4096,"(26, 3)",2,0,-
buf64,mm_graph0.mm_0_0.mm[3].po0,mm_graph0.mg_out[0].pi0,4096,"(25, 0)",3,4096,-
buf86,mm_graph0.mm_0_3.sp_b0[0].po3,mm_graph0.mm_0_3.mm[3].pi1,4096,"(23, 3)",3,0,-
buf3,mm_graph0.mm_0_0.sp_a0[0].po1,mm_graph0.mm_0_0.mm[1].pi0,4096,"(24, 1)",0,0,-
sysmem44,-,-,1156,"(24, 2)",1,4096,-
buf55,mm_graph0.mm_0_0.sp_a0[0].po1,mm_graph0.mm_0_0.mm[1].pi0,4096,"(24, 1)",1,0,-
sysmem49,-,-,1156,"(24, 3)",1,4096,-
buf69,mm_graph0.mm_0_2.sp_a0[0].po1,mm_graph0.mm_0_3.mm[1].pi0,4096,"(25, 2)",1,0,-
sysmem37,-,-,1156,"(25, 0)",1,4096,-
buf5,mm_graph0.mm_0_0.sp_b0[0].po1,mm_graph0.mm_0_0.mm[1].pi1,4096,"(24, 0)",2,0,-
buf7,mm_graph0.mm_0_0.sp_a0[0].po2,mm_graph0.mm_0_1.mm[2].pi0,4096,"(25, 3)",0,0,-
buf19,mm_graph0.mm_0_2.sp_a0[0].po2,mm_graph0.mm_0_2.mm[2].pi0,4096,"(24, 0)",0,0,-
sysmem39,-,-,1188,"(26, 1)",1,4096,-
buf9,mm_graph0.mm_0_0.sp_a0[0].po3,mm_graph0.mm_0_0.mm[3].pi0,4096,"(26, 1)",0,0,-
buf33,mm_graph0.mm_0_3.sp_b0[0].po2,mm_graph0.mm_0_3.mm[2].pi1,4096,"(24, 3)",2,0,-
buf66,mm_graph0.mm_0_2.sp_a0[0].po0,mm_graph0.mm_0_3.mm[0].pi0,4096,"(26, 2)",1,0,-
sysmem41,-,-,1156,"(24, 1)",1,4096,-
buf52,mm_graph0.mm_0_0.sp_a0[0].po0,mm_graph0.mm_0_0.mm[0].pi0,4096,"(23, 1)",1,0,-
sysmem46,-,-,1156,"(26, 2)",1,4096,-
buf0,mm_graph0.mm_0_0.sp_a0[0].po0,mm_graph0.mm_0_0.mm[0].pi0,4096,"(23, 1)",0,0,-
buf57,mm_graph0.mm_0_0.sp_b0[0].po1,mm_graph0.mm_0_0.mm[1].pi1,4096,"(24, 0)",3,0,-
buf59,mm_graph0.mm_0_0.sp_a0[0].po2,mm_graph0.mm_0_1.mm[2].pi0,4096,"(25, 3)",1,0,-
buf21,mm_graph0.mm_0_2.sp_b0[0].po2,mm_graph0.mm_0_2.mm[2].pi1,4096,"(24, 1)",2,0,-
buf53,mm_graph0.mm_0_0.sp_a0[0].po0,mm_graph0.mm_0_1.mm[0].pi0,4096,"(23, 3)",1,0,-
sysmem42,-,-,1156,"(23, 1)",1,4096,-
sysmem43,-,-,1188,"(23, 2)",1,4096,-
buf54,mm_graph0.mm_0_0.sp_b0[0].po0,mm_graph0.mm_0_0.mm[0].pi1,4096,"(23, 0)",3,0,-
buf56,mm_graph0.mm_0_0.sp_a0[0].po1,mm_graph0.mm_0_1.mm[1].pi0,4096,"(24, 3)",1,0,-
sysmem45,-,-,1156,"(25, 2)",1,4096,-
sysmem47,-,-,1188,"(26, 3)",1,4096,-
buf58,mm_graph0.mm_0_0.sp_a0[0].po2,mm_graph0.mm_0_0.mm[2].pi0,4096,"(25, 1)",1,0,-
sysmem48,-,-,1156,"(25, 3)",1,4096,-
buf68,mm_graph0.mm_0_2.sp_a0[0].po1,mm_graph0.mm_0_2.mm[1].pi0,4096,"(25, 0)",1,0,-
sysmem50,-,-,1156,"(23, 3)",1,4096,-
buf70,mm_graph0.mm_0_2.sp_b0[0].po1,mm_graph0.mm_0_2.mm[1].pi1,4096,"(25, 1)",3,0,-
buf71,mm_graph0.mm_0_2.sp_a0[0].po2,mm_graph0.mm_0_2.mm[2].pi0,4096,"(24, 0)",1,0,-
sysmem51,-,-,1188,"(23, 0)",1,4096,-


PLIO,IN/OUT,TILE_COLUMN,CHANNEL
out0_L0,out,26,2
LHS_in1_L0,in,26,2
RHS_in2_L0,in,26,4
RHS_in3_L0,in,25,2
RHS_in1_L0,in,24,2
LHS_in0_L0,in,23,2
RHS_in0_L0,in,23,4


CLUSTER,KERNELS,TILE
PT14,"mm_graph0.mm_0_3.mm[3],","(23, 3)"
PT0,"mm_graph0.mm_0_0.mm[1],","(24, 0)"
PT2,"mm_graph0.mm_0_0.mm[3],","(26, 0)"
PT12,"mm_graph0.mm_0_3.mm[1],","(25, 3)"
PT15,"mm_graph0.mm_0_0.mm[0],","(23, 0)"
PT3,"mm_graph0.mm_0_2.mm[0],","(26, 1)"
PT4,"mm_graph0.mm_0_2.mm[1],","(25, 1)"
PT7,"mm_graph0.mm_0_1.mm[0],","(23, 2)"
PT5,"mm_graph0.mm_0_2.mm[2],","(24, 1)"
PT6,"mm_graph0.mm_0_2.mm[3],","(23, 1)"
PT8,"mm_graph0.mm_0_1.mm[1],","(24, 2)"
PT13,"mm_graph0.mm_0_3.mm[2],","(24, 3)"
PT9,"mm_graph0.mm_0_1.mm[2],","(25, 2)"
PT10,"mm_graph0.mm_0_1.mm[3],","(26, 2)"
PT1,"mm_graph0.mm_0_0.mm[2],","(25, 0)"
PT11,"mm_graph0.mm_0_3.mm[0],","(26, 3)"
